	Gene	Description
SAA1	SAA1	Serum amyloid A-1 protein
EFMT4	EEF1AKMT4	EEF1A lysine methyltransferase 4
TA2R	TBXA2R	Thromboxane A2 receptor
RS3	RPS3	40S ribosomal protein S3
RAE1	CHM	Rab proteins geranylgeranyltransferase component A 1
NMBR	NMBR	Neuromedin-B receptor
SOX6	SOX6	Transcription factor SOX-6
PBX3	PBX3	Pre-B-cell leukemia transcription factor 3
PPT1	PPT1	Palmitoyl-protein thioesterase 1
CAV2	CAV2	Caveolin-2
AP3S2	AP3S2	AP-3 complex subunit sigma-2
GBRL2	GABARAPL2	Gamma-aminobutyric acid receptor-associated protein-like 2
CEBPZ	CEBPZ	CCAAT/enhancer-binding protein zeta
LAP4A	LAPTM4A	Lysosomal-associated transmembrane protein 4A
PWP2	PWP2	Periodic tryptophan protein 2 homolog
RSU1	RSU1	Ras suppressor protein 1
FRDA	FXN	Frataxin, mitochondrial
ESRG	ESRG	Embryonic stem cell-related gene protein
ALG11	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase
IQCC	IQCC	IQ domain-containing protein C
CS054	C19orf54	UPF0692 protein C19orf54
FA47C	FAM47C	Putative protein FAM47C
RGPS1	RALGPS1	Ras-specific guanine nucleotide-releasing factor RalGPS1
TM201	TMEM201	Transmembrane protein 201
FRY	FRY	Protein furry homolog
CD276	CD276	CD276 antigen
TIGD3	TIGD3	Tigger transposable element-derived protein 3
FA53A	FAM53A	Protein FAM53A
BRAT1	BRAT1	BRCA1-associated ATM activator 1
MO2R2	CD200R1L	Cell surface glycoprotein CD200 receptor 2
ISLR2	ISLR2	Immunoglobulin superfamily containing leucine-rich repeat protein 2
CCD9B	CCDC9B	Coiled-coil domain-containing protein 9B
ARC	ARC	Activity-regulated cytoskeleton-associated protein
AGRD2	ADGRD2	Adhesion G-protein coupled receptor D2
LDHD	LDHD	Probable D-lactate dehydrogenase, mitochondrial
THNS2	THNSL2	Threonine synthase-like 2
DJC10	DNAJC10	DnaJ homolog subfamily C member 10
CHSS2	CHPF	Chondroitin sulfate synthase 2
MMP21	MMP21	Matrix metalloproteinase-21
CLC4F	CLEC4F	C-type lectin domain family 4 member F
ZCH24	ZCCHC24	Zinc finger CCHC domain-containing protein 24
KI3L3	KIR3DL3	Killer cell immunoglobulin-like receptor 3DL3
VGLL2	VGLL2	Transcription cofactor vestigial-like protein 2
GBP7	GBP7	Guanylate-binding protein 7
DAND5	DAND5	DAN domain family member 5
MTMRE	MTMR14	Myotubularin-related protein 14
ZN548	ZNF548	Zinc finger protein 548
SPAT4	SPATA4	Spermatogenesis-associated protein 4
O5AU1	OR5AU1	Olfactory receptor 5AU1
MCFD2	MCFD2	Multiple coagulation factor deficiency protein 2
PHOP2	PHOSPHO2	Pyridoxal phosphate phosphatase PH
CEMIP	CEMIP	Cell migration-inducing and hyaluronan-binding protein
NU133	NUP133	Nuclear pore complex protein Nup133
ZN296	ZNF296	Zinc finger protein 296
PHF3	PHF3	PHD finger protein 3
TSR2	TSR2	Pre-rRNA-processing protein TSR2 homolog
NEIL2	NEIL2	Endonuclease 8-like 2
KTI12	KTI12	Protein KTI12 homolog
SPTCS	SPG11	Spatacsin
ZN317	ZNF317	Zinc finger protein 317
ADAM2	ADAM2	Disintegrin and metalloproteinase domain-containing protein 2
GPTC1	GPATCH1	G patch domain-containing protein 1
NAA15	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit
AGT2	AGXT2	Alanine--glyoxylate aminotransferase 2, mitochondrial
ANR60	ANKRD60	Ankyrin repeat domain-containing protein 60
WDR12	WDR12	Ribosome biogenesis protein WDR12
SOX17	SOX17	Transcription factor SOX-17
YTDC2	YTHDC2	3'-5' RNA helicase YTHDC2
MYO5C	MYO5C	Unconventional myosin-Vc
OTULL	OTULINL	Inactive ubiquitin thioesterase OTULINL
RFOX1	RBFOX1	RNA binding protein fox-1 homolog 1
ABRAL	ABRACL	Costars family protein ABRACL
DAPLE	CCDC88C	Protein Daple
ABI3	ABI3	ABI gene family member 3
POK18	ERVK-18	Endogenous retrovirus group K member 18 Pol protein
MRC2	MRC2	C-type mannose receptor 2
PEMT	PEMT	Phosphatidylethanolamine N-methyltransferase
ZN391	ZNF391	Zinc finger protein 391
PCDA4	PCDHA4	Protocadherin alpha-4
LRCH1	LRCH1	Leucine-rich repeat and calponin homology domain-containing protein 1
TRAF6	TRAF6	TNF receptor-associated factor 6
PCDB2	PCDHB2	Protocadherin beta-2
AGRG1	ADGRG1	Adhesion G-protein coupled receptor G1
A0A075B6Y2	TRAJ35	T cell receptor alpha joining 35 (non-functional) (Fragment)
A0A075B714	TRAJ7	T cell receptor alpha joining 7 (Fragment)
TVB71	TRBV7-1	Probable non-functional T cell receptor beta variable 7-1
A0N4Z3	TRAJ14	HCG2039775 (Fragment)
U17L4	USP17L4	Inactive ubiquitin carboxyl-terminal hydrolase 17-like protein 4
SH2D7	SH2D7	SH2 domain-containing protein 7
TTLL8	TTLL8	Protein monoglycylase TTLL8
MCF2L	MCF2L	Guanine nucleotide exchange factor DBS
SIA8C	ST8SIA3	Sia-alpha-2,3-Gal-beta-1,4-GlcNAc-R:alpha 2,8-sialyltransferase
AP5Z1	AP5Z1	AP-5 complex subunit zeta-1
EFC14	EFCAB14	EF-hand calcium-binding domain-containing protein 14
E2F6	E2F6	Transcription factor E2F6
FOXH1	FOXH1	Forkhead box protein H1
TRUB2	TRUB2	Mitochondrial mRNA pseudouridine synthase TRUB2
ALBU	ALB	Albumin
MPC1L	MPC1L	Mitochondrial pyruvate carrier 1-like protein
MYCL	MYCL	Protein L-Myc
SPEE	SRM	Spermidine synthase
HEM0	ALAS2	5-aminolevulinate synthase, erythroid-specific, mitochondrial
TCEA1	TCEA1	Transcription elongation factor A protein 1
IL3RA	IL3RA	Interleukin-3 receptor subunit alpha
KAD4	AK4	Adenylate kinase 4, mitochondrial
SMCA1	SMARCA1	Probable global transcription activator SNF2L1
CD6	CD6	T-cell differentiation antigen CD6
RS19	RPS19	40S ribosomal protein S19
CDN1B	CDKN1B	Cyclin-dependent kinase inhibitor 1B
OR1E2	OR1E2	Olfactory receptor 1E2
NPBW2	NPBWR2	Neuropeptides B/W receptor type 2
PCY1A	PCYT1A	Choline-phosphate cytidylyltransferase A
GSK3A	GSK3A	Glycogen synthase kinase-3 alpha
TUB	TUB	Tubby protein homolog
CLCKB	CLCNKB	Chloride channel protein ClC-Kb
LIMK2	LIMK2	LIM domain kinase 2
FOXA1	FOXA1	Hepatocyte nuclear factor 3-alpha
DLX1	DLX1	Homeobox protein DLX-1
HBA	HBA2	Hemoglobin subunit alpha
TCPB	CCT2	T-complex protein 1 subunit beta
PRKDC	PRKDC	DNA-dependent protein kinase catalytic subunit
PURA	PURA	Transcriptional activator protein Pur-alpha
CD47	CD47	Leukocyte surface antigen CD47
EP300	EP300	Histone acetyltransferase p300
TMM94	TMEM94	Transmembrane protein 94
MAMD1	MAMLD1	Mastermind-like domain-containing protein 1
ODFP1	ODF1	Outer dense fiber protein 1
TAF9	TAF9	Transcription initiation factor TFIID subunit 9
PTN21	PTPN21	Tyrosine-protein phosphatase non-receptor type 21
SC5A9	SLC5A9	Sodium/glucose cotransporter 4
CNPY1	CNPY1	Protein canopy homolog 1
PTN20	PTPN20	Tyrosine-protein phosphatase non-receptor type 20
SBK1	SBK1	Serine/threonine-protein kinase SBK1
CB083	C2orf83	Folate transporter-like protein C2orf83
ARSI	ARSI	Arylsulfatase I
CLVS2	CLVS2	Clavesin-2
SYT6	SYT6	Synaptotagmin-6
SL9C2	SLC9C2	Sodium/hydrogen exchanger 11
KAD9	AK9	Adenylate kinase 9
ZC21B	ZC2HC1B	Zinc finger C2HC domain-containing protein 1B
MSL1	MSL1	Male-specific lethal 1 homolog
RBM44	RBM44	RNA-binding protein 44
HAKAI	CBLL1	E3 ubiquitin-protein ligase Hakai
DOK3	DOK3	Docking protein 3
RM21	MRPL21	39S ribosomal protein L21, mitochondrial
BRAP	BRAP	BRCA1-associated protein
DPCA2	HMGN2P46	Putative Dresden prostate carcinoma protein 2
HOOK3	HOOK3	Protein Hook homolog 3
ANGL5	ANGPTL5	Angiopoietin-related protein 5
GOLI	RNF130	E3 ubiquitin-protein ligase RNF130
MD12L	MED12L	Mediator of RNA polymerase II transcription subunit 12-like protein
SMAP1	SMAP1	Stromal membrane-associated protein 1
UBQLN	UBQLNL	Ubiquilin-like protein
LRC43	LRRC43	Leucine-rich repeat-containing protein 43
PALS1	PALS1	Protein PALS1
CBLL2	CBLL2	E3 ubiquitin-protein ligase CBLL2
TTLL6	TTLL6	Tubulin polyglutamylase TTLL6
SNX31	SNX31	Sorting nexin-31
PMGT2	POMGNT2	Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2
OR6C4	OR6C4	Olfactory receptor 6C4
MB3L2	MBD3L2	Methyl-CpG-binding domain protein 3-like 2
NCOA7	NCOA7	Nuclear receptor coactivator 7
RN217	RNF217	Probable E3 ubiquitin-protein ligase RNF217
ZFAN1	ZFAND1	AN1-type zinc finger protein 1
CD003	C4orf3	Uncharacterized protein C4orf3
CTBL1	CTNNBL1	Beta-catenin-like protein 1
PROX1	PROX1	Prospero homeobox protein 1
CC74A	CCDC74A	Coiled-coil domain-containing protein 74A
RMD3	RMDN3	Regulator of microtubule dynamics protein 3
PHX2B	PHOX2B	Paired mesoderm homeobox protein 2B
TREX2	TREX2	Three prime repair exonuclease 2
PIGQ	PIGQ	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q
Q9BZC5	FKSG35	FKSG35
RERGL	RERGL	Ras-related and estrogen-regulated growth inhibitor-like protein
SHCAF	SINHCAF	SIN3-HDAC complex-associated factor
GTSE1	GTSE1	G2 and S phase-expressed protein 1
PEN2	PSENEN	Gamma-secretase subunit PEN-2
GMIP	GMIP	GEM-interacting protein
POGK	POGK	Pogo transposable element with KRAB domain
S14L3	SEC14L3	SEC14-like protein 3
PNMA2	PNMA2	Paraneoplastic antigen Ma2
RASD1	RASD1	Dexamethasone-induced Ras-related protein 1
RT18B	MRPS18B	28S ribosomal protein S18b, mitochondrial
LV218	IGLV2-18	Immunoglobulin lambda variable 2-18
TRDJ1	TRDJ1	T cell receptor delta joining 1
LV552	IGLV5-52	Immunoglobulin lambda variable 5-52
H2BE1	H2BE1	Histone H2B type 2-E1
CL18A	CLEC18A	C-type lectin domain family 18 member A
GOG8I	GOLGA8IP	Putative golgin subfamily A member 8I
TR49B	TRIM49B	Putative tripartite motif-containing protein 49B
TBC3B	TBC1D3B	TBC1 domain family member 3B
TBKB1	TBKBP1	TANK-binding kinase 1-binding protein 1
MPTX	MPTX1	Putative mucosal pentraxin homolog
T150C	TMEM150C	Transmembrane protein 150C
BHE40	BHLHE40	Class E basic helix-loop-helix protein 40
ZN213	ZNF213	Zinc finger protein 213
ZNT4	SLC30A4	Zinc transporter 4
PPM1D	PPM1D	Protein phosphatase 1D
TET3	TET3	Methylcytosine dioxygenase TET3
RGS14	RGS14	Regulator of G-protein signaling 14
TCF21	TCF21	Transcription factor 21
RAMP3	RAMP3	Receptor activity-modifying protein 3
CDKL5	CDKL5	Cyclin-dependent kinase-like 5
BMP15	BMP15	Bone morphogenetic protein 15
HBD	HBD	Hemoglobin subunit delta
ACM2	CHRM2	Muscarinic acetylcholine receptor M2
IL6RA	IL6R	Interleukin-6 receptor subunit alpha
DU4L7	DUX4L7	Double homeobox protein 4-like protein 7
SPD17	SPDYE17	Putative speedy protein E17
MYBA	MYBL1	Myb-related protein A
PSPC	SFTPC	Pulmonary surfactant-associated protein C
ZKSC1	ZKSCAN1	Zinc finger protein with KRAB and SCAN domains 1
CRBB2	CRYBB2	Beta-crystallin B2
MASP1	MASP1	Mannan-binding lectin serine protease 1
GATM	GATM	Glycine amidinotransferase, mitochondrial
LBX1	LBX1	Transcription factor LBX1
ATPK	ATP5MF	ATP synthase subunit f, mitochondrial
CHM4P	CHMP4BP1	Putative charged multivesicular body protein 4B-like protein CHMP4BP1
ARP3	ACTR3	Actin-related protein 3
IF5A1	EIF5A	Eukaryotic translation initiation factor 5A-1
M3K1	MAP3K1	Mitogen-activated protein kinase kinase kinase 1
TCOF	TCOF1	Treacle protein
PDIA6	PDIA6	Protein disulfide-isomerase A6
PSG5	PSG5	Pregnancy-specific beta-1-glycoprotein 5
SSXT	SS18	Protein SSXT
TAF1A	TAF1A	TATA box-binding protein-associated factor RNA polymerase I subunit A
SPEG	SPEG	Striated muscle preferentially expressed protein kinase
PSMD5	PSMD5	26S proteasome non-ATPase regulatory subunit 5
ACL10	ACTL10	Actin-like protein 10
SPXN3	SPANXN3	Sperm protein associated with the nucleus on the X chromosome N3
SYRM	RARS2	Probable arginine--tRNA ligase, mitochondrial
PPR26	PPP1R26	Protein phosphatase 1 regulatory subunit 26
WLS	WLS	Protein wntless homolog
VW5B1	VWA5B1	von Willebrand factor A domain-containing protein 5B1
S39A4	SLC39A4	Zinc transporter ZIP4
RHDF2	RHBDF2	Inactive rhomboid protein 2
CC171	CCDC171	Coiled-coil domain-containing protein 171
UQCC3	UQCC3	Ubiquinol-cytochrome-c reductase complex assembly factor 3
GLPK5	GK5	Putative glycerol kinase 5
RN165	RNF165	E3 ubiquitin-protein ligase RNF165
PK1L3	PKD1L3	Polycystic kidney disease protein 1-like 3
HDDC2	HDDC2	5'-deoxynucleotidase HDDC2
KAISO	ZBTB33	Transcriptional regulator Kaiso
LRRT1	LRRTM1	Leucine-rich repeat transmembrane neuronal protein 1
MIB1	MIB1	E3 ubiquitin-protein ligase MIB1
MFS6L	MFSD6L	Major facilitator superfamily domain-containing protein 6-like
LRC34	LRRC34	Leucine-rich repeat-containing protein 34
OR8I2	OR8I2	Olfactory receptor 8I2
EMC5	MMGT1	ER membrane protein complex subunit 5
ZN784	ZNF784	Zinc finger protein 784
OR4F6	OR4F6	Olfactory receptor 4F6
MAFA	MAFA	Transcription factor MafA
RDH11	RDH11	Retinol dehydrogenase 11
CHPT1	CHPT1	Cholinephosphotransferase 1
ABCAA	ABCA10	ATP-binding cassette sub-family A member 10
PYDC1	PYDC1	Pyrin domain-containing protein 1
DLG3	DLG3	Disks large homolog 3
RBP56	TAF15	TATA-binding protein-associated factor 2N
FXL20	FBXL20	F-box/LRR-repeat protein 20
GSDMA	GSDMA	Gasdermin-A
ACBD6	ACBD6	Acyl-CoA-binding domain-containing protein 6
SLIRP	SLIRP	SRA stem-loop-interacting RNA-binding protein, mitochondrial
LACRT	LACRT	Extracellular glycoprotein lacritin
PUS7L	PUS7L	Pseudouridylate synthase 7 homolog-like protein
GCP60	ACBD3	Golgi resident protein GCP60
GSTO2	GSTO2	Glutathione S-transferase omega-2
CLSPN	CLSPN	Claspin
UBP29	USP29	Ubiquitin carboxyl-terminal hydrolase 29
PLPL8	PNPLA8	Calcium-independent phospholipase A2-gamma
PCD12	PCDH12	Protocadherin-12
HEBP1	HEBP1	Heme-binding protein 1
HOME2	HOMER2	Homer protein homolog 2
FRS1L	FRRS1L	DOMON domain-containing protein FRRS1L
BCCIP	BCCIP	BRCA2 and CDKN1A-interacting protein
RBL2A	RABL2A	Rab-like protein 2A
KAAG1	KAAG1	Kidney-associated antigen 1
AASS	AASS	Alpha-aminoadipic semialdehyde synthase, mitochondrial
PISD	PISD	Phosphatidylserine decarboxylase proenzyme, mitochondrial
NGAP	RASAL2	Ras GTPase-activating protein nGAP
MYH13	MYH13	Myosin-13
MKLN1	MKLN1	Muskelin
DHRS7	DHRS7	Dehydrogenase/reductase SDR family member 7
SP16H	SUPT16H	FACT complex subunit SPT16
SPEM3	SPEM3	Uncharacterized protein SPEM3
A0A7P0TAN4		Uncharacterized protein
RUXGL	SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15
DB108	DEFB108C	Putative beta-defensin 108A
BCL9	BCL9	B-cell CLL/lymphoma 9 protein
WN10B	WNT10B	Protein Wnt-10b
KLF11	KLF11	Krueppel-like factor 11
MSH5	MSH5	MutS protein homolog 5
CF410	CFAP410	Cilia- and flagella-associated protein 410
UBP12	USP12	Ubiquitin carboxyl-terminal hydrolase 12
MED24	MED24	Mediator of RNA polymerase II transcription subunit 24
RASK	KRAS	GTPase KRas
CATA	CAT	Catalase
MT1B	MT1B	Metallothionein-1B
CATH	CTSH	Pro-cathepsin H
F157B	FAM157B	Putative protein FAM157B
O12D1	OR12D1	Olfactory receptor 12D1
SPD15	SPDYE15	Putative speedy protein E15
ODB2	DBT	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial
ETS2	ETS2	Protein C-ets-2
PGDH	HPGD	15-hydroxyprostaglandin dehydrogenase [NAD(+)]
SDC1	SDC1	Syndecan-1
BMP6	BMP6	Bone morphogenetic protein 6
HXD10	HOXD10	Homeobox protein Hox-D10
MIP	MIP	Lens fiber major intrinsic protein
NASP	NASP	Nuclear autoantigenic sperm protein
KHK	KHK	Ketohexokinase
ETV1	ETV1	ETS translocation variant 1
MOT1	SLC16A1	Monocarboxylate transporter 1
MFAP4	MFAP4	Microfibril-associated glycoprotein 4
PSME3	PSME3	Proteasome activator complex subunit 3
CRUM1	CRB1	Protein crumbs homolog 1
FGD1	FGD1	FYVE, RhoGEF and PH domain-containing protein 1
LEG10	CLC	Galectin-10
PIGF	PIGF	Phosphatidylinositol-glycan biosynthesis class F protein
SLFN5	SLFN5	Schlafen family member 5
PLCX2	PLCXD2	PI-PLC X domain-containing protein 2
SIAT6	ST3GAL3	CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase
SEM3B	SEMA3B	Semaphorin-3B
RAB31	RAB31	Ras-related protein Rab-31
PIGH	PIGH	Phosphatidylinositol N-acetylglucosaminyltransferase subunit H
PEA15	PEA15	Astrocytic phosphoprotein PEA-15
RBBP7	RBBP7	Histone-binding protein RBBP7
KNOP1	KNOP1	Lysine-rich nucleolar protein 1
CDON	CDON	Cell adhesion molecule-related/down-regulated by oncogenes
AR13A	ARL13A	ADP-ribosylation factor-like protein 13A
SAMD5	SAMD5	Sterile alpha motif domain-containing protein 5
B3GNL	B3GNTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like protein 1
ESRP1	ESRP1	Epithelial splicing regulatory protein 1
L2GL2	LLGL2	LLGL scribble cell polarity complex component 2
EPGN	EPGN	Epigen
I27RA	IL27RA	Interleukin-27 receptor subunit alpha
ABRX1	ABRAXAS1	BRCA1-A complex subunit Abraxas 1
P4R3C	PPP4R3C	Protein PPP4R3C
CE024	C5orf24	UPF0461 protein C5orf24
THAP5	THAP5	THAP domain-containing protein 5
LCA5	LCA5	Lebercilin
S13A5	SLC13A5	Solute carrier family 13 member 5
SGPP2	SGPP2	Sphingosine-1-phosphate phosphatase 2
CORA1	COL27A1	Collagen alpha-1(XXVII) chain
NALCN	NALCN	Sodium leak channel non-selective protein
ARL14	ARL14	ADP-ribosylation factor-like protein 14
F216B	FAM216B	Protein FAM216B
DHB11	HSD17B11	Estradiol 17-beta-dehydrogenase 11
OR8S1	OR8S1	Olfactory receptor 8S1
STK35	STK35	Serine/threonine-protein kinase 35
NOC3L	NOC3L	Nucleolar complex protein 3 homolog
S35F5	SLC35F5	Solute carrier family 35 member F5
TSACC	TSACC	TSSK6-activating co-chaperone protein
TET5B	TENT5B	Terminal nucleotidyltransferase 5B
MOAP1	MOAP1	Modulator of apoptosis 1
CKLF5	CMTM5	CKLF-like MARVEL transmembrane domain-containing protein 5
SPDLY	SPDL1	Protein Spindly
ZB6CL	ZBED6CL	ZBED6 C-terminal-like protein
GLT14	GALNT14	Polypeptide N-acetylgalactosaminyltransferase 14
ACY3	ACY3	N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming)
ATPMK	ATP5MK	ATP synthase membrane subunit K, mitochondrial
ZN668	ZNF668	Zinc finger protein 668
PHAR3	PHACTR3	Phosphatase and actin regulator 3
LYSM1	LYSMD1	LysM and putative peptidoglycan-binding domain-containing protein 1
HBEGF	HBEGF	Proheparin-binding EGF-like growth factor
SMAD5	SMAD5	Mothers against decapentaplegic homolog 5
PYGO2	PYGO2	Pygopus homolog 2
SLD5	GINS4	DNA replication complex GINS protein SLD5
DPH7	DPH7	Diphthine methyltransferase
CDAC1	CDADC1	Cytidine and dCMP deaminase domain-containing protein 1
O51B5	OR51B5	Olfactory receptor 51B5
MAGF1	MAGEF1	Melanoma-associated antigen F1
CNNM1	CNNM1	Metal transporter CNNM1
MIC19	CHCHD3	MIC
DDX56	DDX56	Probable ATP-dependent RNA helicase DDX56
MFRN1	SLC25A37	Mitoferrin-1
RBAS1	RBM12B-AS1	Putative uncharacterized protein encoded by RBM12B-AS1
SL9A2	SLC9A2	Sodium/hydrogen exchanger 2
DICER	DICER1	Endoribonuclease Dicer
COLQ	COLQ	Acetylcholinesterase collagenic tail peptide
SIGL9	SIGLEC9	Sialic acid-binding Ig-like lectin 9
GRIP1	GRIP1	Glutamate receptor-interacting protein 1
ENTP2	ENTPD2	Ectonucleoside triphosphate diphosphohydrolase 2
EID1	EID1	EP300-interacting inhibitor of differentiation 1
A0A0G2JNG1		Uncharacterized protein
A0A1B0GTQ1	CYP2D7	Putative cytochrome P450 2D7
A0A1W2PQJ5	SSU72P3	RNA polymerase II subunit A C-terminal domain phosphatase SSU72
NPB15	NPIPB15	Nuclear pore complex-interacting protein family member B15
WNT9B	WNT9B	Protein Wnt-9b
PDZD2	PDZD2	PDZ domain-containing protein 2
PRKN	PRKN	E3 ubiquitin-protein ligase parkin
FZD6	FZD6	Frizzled-6
PLXC1	PLXNC1	Plexin-C1
IF2P	EIF5B	Eukaryotic translation initiation factor 5B
RF1M	MTRF1	Peptide chain release factor 1, mitochondrial
BCAR3	BCAR3	Breast cancer anti-estrogen resistance protein 3
ST1A4	SULT1A4	Sulfotransferase 1A4
CT458	CT45A8	Cancer/testis antigen family 45 member A8
CALCB	CALCB	Calcitonin gene-related peptide 2
MYH7	MYH7	Myosin-7
MIF	MIF	Macrophage migration inhibitory factor
RPB3	POLR2C	DNA-directed RNA polymerase II subunit RPB3
C4BPB	C4BPB	C4b-binding protein beta chain
MAL	MAL	Myelin and lymphocyte protein
S10A4	S100A4	Protein S100-A4
BRCA1	BRCA1	Breast cancer type 1 susceptibility protein
STAT6	STAT6	Signal transducer and activator of transcription 6
ZN75D	ZNF75D	Zinc finger protein 75D
KR10C	KRTAP10-12	Keratin-associated protein 10-12
GNAI1	GNAI1	Guanine nucleotide-binding protein G(i) subunit alpha-1
NOMO3	NOMO3	Nodal modulator 3
RT34	MRPS34	28S ribosomal protein S34, mitochondrial
CPSF1	CPSF1	Cleavage and polyadenylation specificity factor subunit 1
NMI	NMI	N-myc-interactor
BTG3	BTG3	Protein BTG3
K0100	KIAA0100	Protein KIAA0100
CC50B	TMEM30B	Cell cycle control protein 50B
GRPL2	GLIPR1L2	GLIPR1-like protein 2
FKB15	FKBP15	FK506-binding protein 15
GPTC4	GPATCH4	G patch domain-containing protein 4
PI3R6	PIK3R6	Phosphoinositide 3-kinase regulatory subunit 6
RPRD2	RPRD2	Regulation of nuclear pre-mRNA domain-containing protein 2
DNAI4	DNAI4	Dynein axonemal intermediate chain 4
TT39B	TTC39B	Tetratricopeptide repeat protein 39B
CWC27	CWC27	Spliceosome-associated protein CWC27 homolog
I20RB	IL20RB	Interleukin-20 receptor subunit beta
CI047	C9orf47	Uncharacterized protein C9orf47
ARHGI	ARHGEF18	Rho guanine nucleotide exchange factor 18
PAQR9	PAQR9	Membrane progestin receptor epsilon
LRC8D	LRRC8D	Volume-regulated anion channel subunit LRRC8D
G2E3	G2E3	G2/M phase-specific E3 ubiquitin-protein ligase
SRCA	SRL	Sarcalumenin
LHPL3	LHFPL3	LHFPL tetraspan subfamily member 3 protein
NFE4	NFE4	Transcription factor NF-E4
LRAD3	LDLRAD3	Low-density lipoprotein receptor class A domain-containing protein 3
NELFD	NELFCD	Negative elongation factor C/D
GLT12	GALNT12	Polypeptide N-acetylgalactosaminyltransferase 12
S35F2	SLC35F2	Solute carrier family 35 member F2
OFCC1	OFCC1	Orofacial cleft 1 candidate gene 1 protein
ASPM	ASPM	Abnormal spindle-like microcephaly-associated protein
CNTRB	CNTROB	Centrobin
CTL3	SLC44A3	Choline transporter-like protein 3
CL033	LINC00612	Putative uncharacterized protein encoded by LINC00612
ATAD1	ATAD1	Outer mitochondrial transmembrane helix translocase
GABP2	GABPB2	GA-binding protein subunit beta-2
LMO3	LMO3	LIM domain only protein 3
F174A	FAM174A	Membrane protein FAM174A
TRPM4	TRPM4	Transient receptor potential cation channel subfamily M member 4
THAP3	THAP3	THAP domain-containing protein 3
KCTD4	KCTD4	BTB/POZ domain-containing protein KCTD4
ACO11	ACOT11	Acyl-coenzyme A thioesterase 11
ATS14	ADAMTS14	A disintegrin and metalloproteinase with thrombospondin motifs 14
TM234	TMEM234	Transmembrane protein 234
PTPRU	PTPRU	Receptor-type tyrosine-protein phosphatase U
UCN3	UCN3	Urocortin-3
S22AI	SLC22A18	Solute carrier family 22 member 18
TADA1	TADA1	Transcriptional adapter 1
ALKB8	ALKBH8	Alkylated DNA repair protein alkB homolog 8
MET2A	METTL2A	tRNA N(3)-methylcytidine methyltransferase METTL2A
HSH2D	HSH2D	Hematopoietic SH2 domain-containing protein
CJ090	C10orf90	(E2-independent) E3 ubiquitin-conjugating enzyme FATS
RILP	RILP	Rab-interacting lysosomal protein
P2RX7	P2RX7	P2X purinoceptor 7
LITAF	LITAF	Lipopolysaccharide-induced tumor necrosis factor-alpha factor
RM34	MRPL34	39S ribosomal protein L34, mitochondrial
RTP3	RTP3	Receptor-transporting protein 3
TRI51	TRIM51	Tripartite motif-containing protein 51
TRI31	TRIM31	E3 ubiquitin-protein ligase TRIM31
TRIM9	TRIM9	E3 ubiquitin-protein ligase TRIM9
M4A6A	MS4A6A	Membrane-spanning 4-domains subfamily A member 6A
TOR3A	TOR3A	Torsin-3A
EHMT1	EHMT1	Histone-lysine N-methyltransferase EHMT1
OCAD1	OCIAD1	OCIA domain-containing protein 1
TA2R3	TAS2R3	Taste receptor type 2 member 3
B3GA1	B3GAT1	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1
TRIM1	MID2	Probable E3 ubiquitin-protein ligase MID2
FOXA2	FOXA2	Hepatocyte nuclear factor 3-beta
RCL1	RCL1	RNA 3'-terminal phosphate cyclase-like protein
CHST2	CHST2	Carbohydrate sulfotransferase 2
UBP15	USP15	Ubiquitin carboxyl-terminal hydrolase 15
PCDBB	PCDHB11	Protocadherin beta-11
GMPPB	GMPPB	Mannose-1-phosphate guanyltransferase beta
MTCH2	MTCH2	Mitochondrial carrier homolog 2
STK24	STK24	Serine/threonine-protein kinase 24
SIM31	SMIM31	Small integral membrane protein 31
A0A590UK24		Uncharacterized protein
CO6A5	COL6A5	Collagen alpha-5(VI) chain
NBPFP	NBPF26	Neuroblastoma breakpoint family member 26
GPHRA	GPR89A	Golgi pH regulator A
F16P2	FBP2	Fructose-1,6-bisphosphatase isozyme 2
TPP1	TPP1	Tripeptidyl-peptidase 1
SH21B	SH2D1B	SH2 domain-containing protein 1B
MGST3	MGST3	Microsomal glutathione S-transferase 3
MAAI	GSTZ1	Maleylacetoacetate isomerase
B4GT2	B4GALT2	Beta-1,4-galactosyltransferase 2
CLU	CLUH	Clustered mitochondria protein homolog
CAN15	CAPN15	Calpain-15
RHBT1	RHOBTB1	Rho-related BTB domain-containing protein 1
SOGA1	SOGA1	Protein SOGA1
SOX30	SOX30	Transcription factor SOX-30
FSBP	FSBP	Fibrinogen silencer-binding protein
ETHE1	ETHE1	Persulfide dioxygenase ETHE1, mitochondrial
ZN682	ZNF682	Zinc finger protein 682
